name	x	y	z	size	group	hemisphere	type	ind.region
LG1	-52.5229	28.0381	-7.91817110052193	1.7663	LG	L	grid	parstriangularis
LG2	-54.7384	15.8286	-2.9262618814205	1.7663	LG	L	grid	parsorbitalis
LG3	-58.9943	7.81078	-2.71745292191024	1.7663	LG	L	grid	superiortemporal
LG4	-60.0605	1.191	-1.53585352680445	1.7663	LG	L	grid	superiortemporal
LG5	-60.4115	-7.30157	-3.66719634766844	1.7663	LG	L	grid	superiortemporal
LG6	-65.29	-18.5669	-9.34910750232102	1.7663	LG	L	grid	middletemporal
LG7	-65.4488	-31.2475	-4.88335021863156	1.7663	LG	L	grid	middletemporal
LG8	-66.4899	-39.6184	-5.11704484173433	1.7663	LG	L	grid	middletemporal
LG9	-55.5148	27.6868	2.41512415994851	1.7663	LG	L	grid	parstriangularis
LG10	-57.5825	14.84	5.09414357876184	1.7663	LG	L	grid	parstriangularis
LG11	-61.3245	5.3967	7.66056931645538	1.7663	LG	L	grid	precentral
LG12	-63.9263	0.24383	11.1371952245735	1.7663	LG	L	grid	postcentral
LG13	-63.9714	-6.85274	10.3043943653038	1.7663	LG	L	grid	postcentral
LG14	-64.1532	-18.451	9.20163694142389	1.7663	LG	L	grid	superiortemporal
LG15	-65.4253	-31.2153	5.80378397979834	1.7663	LG	L	grid	superiortemporal
LG16	-65.0887	-39.8201	4.81237767451353	1.7663	LG	L	grid	middletemporal
LG17	-53.4973	28.6708	12.2179612752161	1.7663	LG	L	grid	parsopercularis
LG18	-57.8316	15.4631	15.0278603881097	1.7663	LG	L	grid	parsopercularis
LG19	-59.8991	7.0652	18.1280352559057	1.7663	LG	L	grid	precentral
LG20	-63.5016	-0.734345	21.2074582887639	1.7663	LG	L	grid	postcentral
LG21	-63.7952	-10.3805	19.6352503950479	1.7663	LG	L	grid	postcentral
LG22	-63.0261	-19.7377	18.7867278385351	1.7663	LG	L	grid	postcentral
LG23	-64.5411	-29.4801	15.7196220423433	1.7663	LG	L	grid	supramarginal
LG24	-63.5423	-37.3102	17.6104636737563	1.7663	LG	L	grid	superiortemporal
LG25	-50.3605	29.3247	24.1072686933484	1.7663	LG	L	grid	rostralmiddlefrontal
LG26	-54.4807	15.363	28.457262707246	1.7663	LG	L	grid	parsopercularis
LG27	-58.5894	7.60725	29.2756181494538	1.7663	LG	L	grid	precentral
LG28	-60.6227	-1.29874	28.9617481057472	1.7663	LG	L	grid	postcentral
LG29	-61.1336	-10.1649	29.7048741511613	1.7663	LG	L	grid	postcentral
LG30	-62.2772	-23.8025	29.4578829238141	1.7663	LG	L	grid	supramarginal
LG31	-62.1676	-29.9333	27.6450135051301	1.7663	LG	L	grid	supramarginal
LG32	-59.3549	-36.6651	28.5534571310633	1.7663	LG	L	grid	supramarginal
LG33	-41.9708	24.7019	39.0566471602619	1.7663	LG	L	grid	rostralmiddlefrontal
LG34	-47.505	17.5232	41.6651422409477	1.7663	LG	L	grid	caudalmiddlefrontal
LG35	-51.0677	8.8097	38.4173213409524	1.7663	LG	L	grid	precentral
LG36	-53.6867	1.71918	40.8752533177808	1.7663	LG	L	grid	precentral
LG37	-57.689	-9.73186	39.1009547334644	1.7663	LG	L	grid	postcentral
LG38	-59.6693	-19.9276	36.2685224568573	1.7663	LG	L	grid	supramarginal
LG39	-59.1292	-27.1391	34.5296676636922	1.7663	LG	L	grid	supramarginal
LG40	-57.2226	-34.5938	35.1096179075335	1.7663	LG	L	grid	supramarginal
LG41	-38.8923	25.0965	45.9949856430738	1.7663	LG	L	grid	caudalmiddlefrontal
LG42	-43.2949	15.4809	47.4451240078297	1.7663	LG	L	grid	caudalmiddlefrontal
LG43	-47.3909	5.74057	48.2755255427157	1.7663	LG	L	grid	precentral
LG44	-50.3315	-4.21588	50.0933892690203	1.7663	LG	L	grid	precentral
LG45	-53.3676	-12.001	46.9493891818799	1.7663	LG	L	grid	precentral
LG46	-56.0193	-21.2175	46.4875698865718	1.7663	LG	L	grid	postcentral
LG47	-57.7954	-27.6583	43.8329681688611	1.7663	LG	L	grid	supramarginal
LG48	-55.1868	-36.6616	43.3296209462559	1.7663	LG	L	grid	supramarginal
LG49	-33.977	24.0732	47.97328337335	1.7663	LG	L	grid	caudalmiddlefrontal
LG50	-36.7036	16.2796	50.4711131810255	1.7663	LG	L	grid	caudalmiddlefrontal
LG51	-41.8071	2.91386	52.0066380292297	1.7663	LG	L	grid	caudalmiddlefrontal
LG52	-45.4161	-7.69906	55.4852011402792	1.7663	LG	L	grid	precentral
LG53	-47.3138	-15.6329	53.9528713027189	1.7663	LG	L	grid	postcentral
LG54	-50.5961	-25.5415	55.2333484660951	1.7663	LG	L	grid	postcentral
LG55	-50.3104	-31.8651	54.4516745818015	1.7663	LG	L	grid	supramarginal
LG56	-51.9627	-41.341	52.7047603033082	1.7663	LG	L	grid	supramarginal
LG57	-23.4719	24.7912	55.9447020600906	1.7663	LG	L	grid	superiorfrontal
LG58	-28.9526	14.456	57.3023974455759	1.7663	LG	L	grid	caudalmiddlefrontal
LG59	-36.6319	1.4321	58.3921436342917	1.7663	LG	L	grid	caudalmiddlefrontal
LG60	-40.5578	-11.7416	61.0765545967337	1.7663	LG	L	grid	precentral
LG61	-43.8511	-20.5636	59.7531729121512	1.7663	LG	L	grid	precentral
LG62	-43.9762	-27.4157	61.9345499890675	1.7663	LG	L	grid	postcentral
LG63	-44.3504	-35.2194	62.1039843956712	1.7663	LG	L	grid	postcentral
LG64	-45.1689	-45.6503	59.7934786027825	1.7663	LG	L	grid	supramarginal
LFA1	0.433092	60.1057	-15.6226978173436	1.7663	LFA	R	strip	frontalpole
LFA2	-2.56266	67.6425	-9.51646067602947	1.7663	LFA	L	strip	frontalpole
LFA3	-13.9935	69.8346	-4.03083685726112	1.7663	LFA	L	strip	frontalpole
LFA4	-22.9623	67.3259	2.19426671921781	1.7663	LFA	L	strip	rostralmiddlefrontal
LFA5	-30.6827	61.8133	1.8245312123615	1.7663	LFA	L	strip	rostralmiddlefrontal
LFA6	-38.3379	54.1546	2.03682111319297	1.7663	LFA	L	strip	rostralmiddlefrontal
LFA7	-45.3819	45.5686	4.11551452653037	1.7663	LFA	L	strip	rostralmiddlefrontal
LFA8	-52.0439	35.9068	6.6427044118697	1.7663	LFA	L	strip	parstriangularis
LFB1	1.96633	57.7239	-3.04480577837306	1.7663	LFB	R	strip	superiorfrontal
LFB2	-0.952631	64.9896	3.98685016682236	1.7663	LFB	L	strip	superiorfrontal
LFB3	-7.26785	68.4432	13.0025926033526	1.7663	LFB	L	strip	superiorfrontal
LFB4	-16.4061	66.2933	18.6502374824474	1.7663	LFB	L	strip	superiorfrontal
LFB5	-24.2854	57.6246	19.975410282079	1.7663	LFB	L	strip	rostralmiddlefrontal
LFB6	-34.8747	50.5378	19.027839821973	1.7663	LFB	L	strip	rostralmiddlefrontal
LFB7	-34.4431	41.1891	30.2382639707874	1.7663	LFB	L	strip	rostralmiddlefrontal
LFB8	-40.5729	34.3164	30.319864297365	1.7663	LFB	L	strip	rostralmiddlefrontal
LFC1	1.98536	60.6988	-1.83881968475568	1.7663	LFC	R	strip	superiorfrontal
LFC2	1.5371	63.6281	9.29304875816146	1.7663	LFC	R	strip	superiorfrontal
LFC3	-2.48027	63.1232	19.7918744125657	1.7663	LFC	L	strip	superiorfrontal
LFC4	-8.28197	60.7057	29.249928703033	1.7663	LFC	L	strip	superiorfrontal
LFC5	-14.7021	55.2556	33.7420073038883	1.7663	LFC	L	strip	superiorfrontal
LFC6	-20.1534	47.6092	39.987540830452	1.7663	LFC	L	strip	superiorfrontal
LFC7	-25.9956	39.1255	43.2080541856851	1.7663	LFC	L	strip	rostralmiddlefrontal
LFC8	-32.5803	28.8466	45.1642110526621	1.7663	LFC	L	strip	rostralmiddlefrontal
LPA1	-21.7845	-103.106	1.26308362428552	1.7663	LPA	L	strip	lateraloccipital
LPA2	-31.6861	-98.0259	3.34943020631192	1.7663	LPA	L	strip	lateraloccipital
LPA3	-39.4855	-90.1624	5.2795490543218	1.7663	LPA	L	strip	lateraloccipital
LPA4	-45.9976	-81.9962	6.87438882133341	1.7663	LPA	L	strip	lateraloccipital
LPA5	-52.4697	-74.3375	8.86531065066551	1.7663	LPA	L	strip	lateraloccipital
LPA6	-57.779	-64.6845	8.7787610617396	1.7663	LPA	L	strip	lateraloccipital
LPA7	-60.7662	-54.0374	8.45388959235171	1.7663	LPA	L	strip	middletemporal
