onset	duration	sample	trial_type	response_time	stim_file	item_name	category	serialpos	list	experiment	session	subject
0.0	265.858	42236	SESS_START	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
265.858	10.428	314466	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
276.286	3.741	325144	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
280.027	2.384	328974	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
282.411	2.418	331416	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
284.829	2.416	333892	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
287.245	2.417	336365	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
289.662	2.617	338840	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
292.279	2.434	341520	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
294.713	2.484	344012	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
297.197	2.434	346556	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
299.631	2.434	349048	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
302.065	2.417	351541	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
304.482	2.467	354016	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
306.949	1.617	356542	PRACTICE_WORD	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
308.566	21.187	358197	PRACTICE_DISTRACT_START	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
329.753	0.552	379892	PRACTICE_DISTRACT_END	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
330.305	30.516	380457	PRACTICE_REC_START	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
360.821	9.007	411705	PRACTICE_REC_END	n/a	n/a	n/a	n/a	-999	-999	catFR1	2	R1221P
369.828	0.0	420928	TRIAL	n/a	n/a	n/a	n/a	-999	1	catFR1	2	R1221P
369.828	10.428	420928	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	1	catFR1	2	R1221P
380.256	0.006	431606	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	1	catFR1	2	R1221P
380.262	3.684	431612	ORIENT	n/a	n/a	n/a	n/a	-999	1	catFR1	2	R1221P
383.946	2.568	435384	WORD	n/a	wordpools/wordpool_categorized_EN.txt	BLENDER	Appliances	1	1	catFR1	2	R1221P
386.514	2.483	438014	WORD	n/a	wordpools/wordpool_categorized_EN.txt	WASHER	Appliances	2	1	catFR1	2	R1221P
388.997	2.617	440556	WORD	n/a	wordpools/wordpool_categorized_EN.txt	SPIDER	Insects	3	1	catFR1	2	R1221P
391.614	2.568	443236	WORD	n/a	wordpools/wordpool_categorized_EN.txt	BEETLE	Insects	4	1	catFR1	2	R1221P
394.182	2.517	445865	WORD	n/a	wordpools/wordpool_categorized_EN.txt	DUCK	Birds	5	1	catFR1	2	R1221P
396.699	2.534	448443	WORD	n/a	wordpools/wordpool_categorized_EN.txt	CROW	Birds	6	1	catFR1	2	R1221P
399.233	2.433	451037	WORD	n/a	wordpools/wordpool_categorized_EN.txt	IRON	Appliances	7	1	catFR1	2	R1221P
401.666	2.401	453529	WORD	n/a	wordpools/wordpool_categorized_EN.txt	FREEZER	Appliances	8	1	catFR1	2	R1221P
404.067	2.467	455987	WORD	n/a	wordpools/wordpool_categorized_EN.txt	SEAGULL	Birds	9	1	catFR1	2	R1221P
406.534	2.534	458513	WORD	n/a	wordpools/wordpool_categorized_EN.txt	CARDINAL	Birds	10	1	catFR1	2	R1221P
409.068	2.6	461108	WORD	n/a	wordpools/wordpool_categorized_EN.txt	MOSQUITO	Insects	11	1	catFR1	2	R1221P
411.668	1.617	463770	WORD	n/a	wordpools/wordpool_categorized_EN.txt	ANT	Insects	12	1	catFR1	2	R1221P
413.285	22.354	465426	DISTRACT_START	n/a	n/a	n/a	n/a	-999	1	catFR1	2	R1221P
435.639	1.201	488316	DISTRACT_END	n/a	n/a	n/a	n/a	-999	1	catFR1	2	R1221P
436.84	0.811	489546	REC_START	n/a	n/a	n/a	n/a	-999	1	catFR1	2	R1221P
437.651	0.92	490376	REC_WORD	0.92	n/a	BLENDER	Appliances	1	1	catFR1	2	R1221P
438.571	1.243	491318	REC_WORD	1.243	n/a	WASHER	Appliances	2	1	catFR1	2	R1221P
439.814	1.132	492591	REC_WORD	1.132	n/a	BEETLE	Insects	4	1	catFR1	2	R1221P
440.946	0.961	493750	REC_WORD	0.961	n/a	DUCK	Birds	5	1	catFR1	2	R1221P
441.907	24.948	494734	REC_WORD	24.948	n/a	ANT	Insects	12	1	catFR1	2	R1221P
466.855	3.424	520280	REC_END	n/a	n/a	n/a	n/a	-999	1	catFR1	2	R1221P
470.279	0.0	523786	TRIAL	n/a	n/a	n/a	n/a	-999	2	catFR1	2	R1221P
470.279	10.428	523786	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	2	catFR1	2	R1221P
480.707	0.007	534464	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	2	catFR1	2	R1221P
480.714	3.567	534471	ORIENT	n/a	n/a	n/a	n/a	-999	2	catFR1	2	R1221P
484.281	2.585	538124	WORD	n/a	wordpools/wordpool_categorized_EN.txt	UNDERWEAR	Clothing	1	2	catFR1	2	R1221P
486.866	2.533	540771	WORD	n/a	wordpools/wordpool_categorized_EN.txt	SHOES	Clothing	2	2	catFR1	2	R1221P
489.399	2.419	543364	WORD	n/a	wordpools/wordpool_categorized_EN.txt	FOOTBALL	Toys	3	2	catFR1	2	R1221P
491.818	2.449	545841	WORD	n/a	wordpools/wordpool_categorized_EN.txt	BASKETBALL	Toys	4	2	catFR1	2	R1221P
494.267	2.617	548349	WORD	n/a	wordpools/wordpool_categorized_EN.txt	GNAT	Insects	5	2	catFR1	2	R1221P
496.884	2.451	551029	WORD	n/a	wordpools/wordpool_categorized_EN.txt	ROACH	Insects	6	2	catFR1	2	R1221P
499.335	2.567	553539	WORD	n/a	wordpools/wordpool_categorized_EN.txt	DRESS	Clothing	7	2	catFR1	2	R1221P
501.902	2.433	556167	WORD	n/a	wordpools/wordpool_categorized_EN.txt	SHORTS	Clothing	8	2	catFR1	2	R1221P
504.335	2.451	558658	WORD	n/a	wordpools/wordpool_categorized_EN.txt	BEE	Insects	9	2	catFR1	2	R1221P
506.786	2.434	561168	WORD	n/a	wordpools/wordpool_categorized_EN.txt	FLY	Insects	10	2	catFR1	2	R1221P
509.22	2.617	563660	WORD	n/a	wordpools/wordpool_categorized_EN.txt	BARBIE	Toys	11	2	catFR1	2	R1221P
511.837	1.617	566340	WORD	n/a	wordpools/wordpool_categorized_EN.txt	BLOCKS	Toys	12	2	catFR1	2	R1221P
513.454	20.12	567996	DISTRACT_START	n/a	n/a	n/a	n/a	-999	2	catFR1	2	R1221P
533.574	1.219	588598	DISTRACT_END	n/a	n/a	n/a	n/a	-999	2	catFR1	2	R1221P
534.793	0.732	589846	REC_START	n/a	n/a	n/a	n/a	-999	2	catFR1	2	R1221P
535.525	0.77	590596	REC_WORD	0.77	n/a	UNDERWEAR	Clothing	1	2	catFR1	2	R1221P
536.295	0.954	591384	REC_WORD	0.954	n/a	SHOES	Clothing	2	2	catFR1	2	R1221P
537.249	0.961	592361	REC_WORD	0.961	n/a	FOOTBALL	Toys	3	2	catFR1	2	R1221P
538.21	0.912	593345	REC_WORD	0.912	n/a	GNAT	Insects	5	2	catFR1	2	R1221P
539.122	1.165	594279	REC_WORD	1.165	n/a	BASKETBALL	Toys	4	2	catFR1	2	R1221P
540.287	0.655	595472	REC_WORD	0.655	n/a	BARBIE	Toys	11	2	catFR1	2	R1221P
540.942	23.866	596143	REC_WORD	23.866	n/a	FLY	Insects	10	2	catFR1	2	R1221P
564.808	4.406	620581	REC_END	n/a	n/a	n/a	n/a	-999	2	catFR1	2	R1221P
569.214	0.0	625092	TRIAL	n/a	n/a	n/a	n/a	-999	3	catFR1	2	R1221P
569.214	10.428	625092	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	3	catFR1	2	R1221P
579.642	0.008	635770	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	3	catFR1	2	R1221P
579.65	3.9	635778	ORIENT	n/a	n/a	n/a	n/a	-999	3	catFR1	2	R1221P
583.55	2.501	639772	WORD	n/a	wordpools/wordpool_categorized_EN.txt	SHRIMP	OceanAnimals	1	3	catFR1	2	R1221P
586.051	2.6	642333	WORD	n/a	wordpools/wordpool_categorized_EN.txt	DOLPHIN	OceanAnimals	2	3	catFR1	2	R1221P
588.651	2.384	644995	WORD	n/a	wordpools/wordpool_categorized_EN.txt	DRYER	Appliances	3	3	catFR1	2	R1221P
591.035	2.5	647436	WORD	n/a	wordpools/wordpool_categorized_EN.txt	DISHWASHER	Appliances	4	3	catFR1	2	R1221P
593.535	2.568	649996	WORD	n/a	wordpools/wordpool_categorized_EN.txt	LILY	Flowers	5	3	catFR1	2	R1221P
596.103	2.567	652626	WORD	n/a	wordpools/wordpool_categorized_EN.txt	ROSE	Flowers	6	3	catFR1	2	R1221P
598.67	2.617	655254	WORD	n/a	wordpools/wordpool_categorized_EN.txt	TURTLE	OceanAnimals	7	3	catFR1	2	R1221P
601.287	2.617	657934	WORD	n/a	wordpools/wordpool_categorized_EN.txt	CRAB	OceanAnimals	8	3	catFR1	2	R1221P
603.904	2.567	660614	WORD	n/a	wordpools/wordpool_categorized_EN.txt	ORCHID	Flowers	9	3	catFR1	2	R1221P
606.471	2.451	663242	WORD	n/a	wordpools/wordpool_categorized_EN.txt	LILAC	Flowers	10	3	catFR1	2	R1221P
608.922	2.617	665752	WORD	n/a	wordpools/wordpool_categorized_EN.txt	MIXER	Appliances	11	3	catFR1	2	R1221P
611.539	1.617	668432	WORD	n/a	wordpools/wordpool_categorized_EN.txt	STOVE	Appliances	12	3	catFR1	2	R1221P
613.156	23.604	670088	DISTRACT_START	n/a	n/a	n/a	n/a	-999	3	catFR1	2	R1221P
636.76	1.101	694257	DISTRACT_END	n/a	n/a	n/a	n/a	-999	3	catFR1	2	R1221P
637.861	0.69	695385	REC_START	n/a	n/a	n/a	n/a	-999	3	catFR1	2	R1221P
638.551	0.884	696091	REC_WORD	0.884	n/a	SHRIMP	OceanAnimals	1	3	catFR1	2	R1221P
639.435	0.842	696996	REC_WORD	0.842	n/a	DRYER	Appliances	3	3	catFR1	2	R1221P
640.277	0.939	697859	REC_WORD	0.939	n/a	LILY	Flowers	5	3	catFR1	2	R1221P
641.216	0.704	698820	REC_WORD	0.704	n/a	TOAD	n/a	-999	3	catFR1	2	R1221P
641.92	0.79	699541	REC_WORD	0.79	n/a	CRAB	OceanAnimals	8	3	catFR1	2	R1221P
642.71	25.163	700350	REC_WORD	25.163	n/a	MIXER	Appliances	11	3	catFR1	2	R1221P
667.873	2.327	726116	REC_END	n/a	n/a	n/a	n/a	-999	3	catFR1	2	R1221P
670.2	0.0	728499	TRIAL	n/a	n/a	n/a	n/a	-999	4	catFR1	2	R1221P
670.199	10.428	728498	COUNTDOWN_START	n/a	n/a	n/a	n/a	-999	4	catFR1	2	R1221P
680.627	0.008	739176	COUNTDOWN_END	n/a	n/a	n/a	n/a	-999	4	catFR1	2	R1221P
680.635	3.834	739184	ORIENT	n/a	n/a	n/a	n/a	-999	4	catFR1	2	R1221P
